Product code;Product name;List price;Price;Sale;Product line;Quantity;Downloadable;Category;Secondary categories;Description;Features;;Meta keywords;Meta description;Search words;Page title;
RGI-0050;Термос Bullet, 0,5 л [93-TE-B-2-500];360;360;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-2-500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,5 л; 
RGI-0051;Термос Bullet, 0,8 л [93-TE-B-2-800];520;520;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-2-800]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,8]; Объем: T[0,8 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,8 л; 
RGI-0052;Термос Bullet, 1 л [93-TE-B-2-1000];560;560;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-2-1000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 1 л; 
RGI-0053;Термос Bullet, 0,5 л [93-TE-B-3-500];360;360;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-3-500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,5 л; 
RGI-0054;Термос Bullet, 0,8 л [93-TE-B-3-800];520;520;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-3-800]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,8]; Объем: T[0,8 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,8 л; 
RGI-0055;Термос Bullet, 1 л [93-TE-B-3-1000];590;590;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-3-1000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 1 л; 
RGI-0056;Термос Bullet, 0,35 л [93-TE-B-6-350];0;0;0;Bullet;0;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-6-350]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,35]; Объем: T[0,35 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,35 л; 
RGI-0057;Термос Bullet, 0,5 л [93-TE-B-6-500];360;360;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-6-500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,5 л; 
RGI-0058;Термос Bullet, 0,7 л [93-TE-B-6-700];500;500;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-6-700]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,7]; Объем: T[0,7 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,7 л; 
RGI-0059;Термос Bullet, 1 л [93-TE-B-6-1000];590;590;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-6-1000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 1 л; 
